check_date,direction,origin,destination,market,airport_group,purpose,departure_date,cabin_class,airline,flight_number,aircraft,departure_airport,departure_time,arrival_airport,arrival_time,duration,price,currency,status,source
2026-05-12 12:32:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,2026-06-11,Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-06-11 17:45,KIX,2026-06-12 12:35,770,397738,JPY,OK,SerpApi Google Flights API
2026-05-12 12:32:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,2026-06-11,Premium Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-06-11 17:45,KIX,2026-06-12 12:35,770,469332,JPY,OK,SerpApi Google Flights API
2026-05-12 12:32:05,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,2026-06-11,Business,フィンエアー,AY 67,Airbus A350,HEL,2026-06-11 17:45,KIX,2026-06-12 12:35,770,829056,JPY,OK,SerpApi Google Flights API
2026-05-12 12:32:05,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,2026-06-11,Economy,フィンエアー,AY 61,Airbus A350,HEL,2026-06-11 18:30,HND,2026-06-12 13:50,800,397738,JPY,OK,SerpApi Google Flights API
2026-05-12 12:32:05,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,2026-06-11,Premium Economy,,,,HEL,,HND,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
2026-05-12 12:32:05,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,2026-06-11,Business,フィンエアー,AY 61,Airbus A350,HEL,2026-06-11 18:30,HND,2026-06-12 13:50,800,829056,JPY,OK,SerpApi Google Flights API
2026-05-12 12:32:05,LOCAL_OUT,HEL,NRT,Finland-Japan,benchmark,AY_direct_watch,2026-06-11,Economy,フィンエアー,AY 73,Airbus A350,HEL,2026-06-11 17:45,NRT,2026-06-12 13:05,800,397738,JPY,OK,SerpApi Google Flights API
2026-05-12 12:32:05,LOCAL_OUT,HEL,NRT,Finland-Japan,benchmark,AY_direct_watch,2026-06-11,Premium Economy,フィンエアー,AY 73,Airbus A350,HEL,2026-06-11 17:45,NRT,2026-06-12 13:05,800,469332,JPY,OK,SerpApi Google Flights API
2026-05-12 12:32:05,LOCAL_OUT,HEL,NRT,Finland-Japan,benchmark,AY_direct_watch,2026-06-11,Business,フィンエアー,AY 73,Airbus A350,HEL,2026-06-11 17:45,NRT,2026-06-12 13:05,800,829056,JPY,OK,SerpApi Google Flights API
2026-05-12 12:32:05,LOCAL_OUT,HEL,NGO,Finland-Japan,base,AY_direct_watch,2026-06-11,Economy,,,,HEL,,NGO,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
2026-05-12 12:32:05,LOCAL_OUT,HEL,NGO,Finland-Japan,base,AY_direct_watch,2026-06-11,Premium Economy,,,,HEL,,NGO,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
2026-05-12 12:32:05,LOCAL_OUT,HEL,NGO,Finland-Japan,base,AY_direct_watch,2026-06-11,Business,,,,HEL,,NGO,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
2026-05-12 12:32:05,JP_OUT,KIX,HEL,Japan-Finland,benchmark,AY_direct_watch,2026-06-11,Economy,フィンエアー,AY 68,Airbus A350,KIX,2026-06-11 22:15,HEL,2026-06-12 05:20,785,264130,JPY,OK,SerpApi Google Flights API
2026-05-12 12:32:05,JP_OUT,KIX,HEL,Japan-Finland,benchmark,AY_direct_watch,2026-06-11,Premium Economy,フィンエアー,AY 68,Airbus A350,KIX,2026-06-11 22:15,HEL,2026-06-12 05:20,785,451130,JPY,OK,SerpApi Google Flights API
2026-05-12 12:32:05,JP_OUT,KIX,HEL,Japan-Finland,benchmark,AY_direct_watch,2026-06-11,Business,,,,KIX,,HEL,,,,JPY,NO_AY_DIRECT_RESULT,SerpApi Google Flights API
2026-05-12 12:32:05,JP_OUT,HND,HEL,Japan-Finland,benchmark,AY_direct_watch,2026-06-11,Economy,フィンエアー,AY 62,Airbus A350,HND,2026-06-11 21:50,HEL,2026-06-12 04:40,770,268450,JPY,OK,SerpApi Google Flights API
