check_date,direction,origin,destination,market,airport_group,purpose,weeks_ahead,target_weekday,departure_date,departure_weekday,cabin_class,airline,flight_number,aircraft,departure_airport,departure_time,arrival_airport,arrival_time,duration,price,currency,status,api_error,source
2026-06-11 23:13:06,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-07-08,水,Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-07-08 17:45,KIX,2026-07-09 12:35,770,398271,JPY,OK,,SerpApi Google Flights API
2026-06-11 23:13:06,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-07-08,水,Premium Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-07-08 17:45,KIX,2026-07-09 12:35,770,469960,JPY,OK,,SerpApi Google Flights API
2026-06-11 23:13:06,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-07-08,水,Business,フィンエアー,AY 67,Airbus A350,HEL,2026-07-08 17:45,KIX,2026-07-09 12:35,770,830167,JPY,OK,,SerpApi Google Flights API
2026-06-11 23:13:06,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-07-10,金,Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-07-10 17:45,KIX,2026-07-11 12:35,770,398271,JPY,OK,,SerpApi Google Flights API
2026-06-11 23:13:06,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-07-10,金,Premium Economy,フィンエアー,AY 67,Airbus A350,HEL,2026-07-10 17:45,KIX,2026-07-11 12:35,770,469960,JPY,OK,,SerpApi Google Flights API
2026-06-11 23:13:06,LOCAL_OUT,HEL,KIX,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-07-10,金,Business,フィンエアー,AY 67,Airbus A350,HEL,2026-07-10 17:45,KIX,2026-07-11 12:35,770,830167,JPY,OK,,SerpApi Google Flights API
2026-06-11 23:13:06,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-07-08,水,Economy,フィンエアー,AY 61,Airbus A350,HEL,2026-07-08 18:30,HND,2026-07-09 13:50,800,398271,JPY,OK,,SerpApi Google Flights API
2026-06-11 23:13:06,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-07-08,水,Business,フィンエアー,AY 61,Airbus A350,HEL,2026-07-08 18:30,HND,2026-07-09 13:50,800,830167,JPY,OK,,SerpApi Google Flights API
2026-06-11 23:13:06,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-07-10,金,Economy,フィンエアー,AY 61,Airbus A350,HEL,2026-07-10 18:30,HND,2026-07-11 13:50,800,398271,JPY,OK,,SerpApi Google Flights API
2026-06-11 23:13:06,LOCAL_OUT,HEL,HND,Finland-Japan,benchmark,AY_direct_watch,4,Friday,2026-07-10,金,Business,フィンエアー,AY 61,Airbus A350,HEL,2026-07-10 18:30,HND,2026-07-11 13:50,800,830167,JPY,OK,,SerpApi Google Flights API
2026-06-11 23:13:06,LOCAL_OUT,HEL,NRT,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-07-08,水,Economy,フィンエアー,AY 73,Airbus A350,HEL,2026-07-08 17:45,NRT,2026-07-09 13:05,800,398271,JPY,OK,,SerpApi Google Flights API
2026-06-11 23:13:06,LOCAL_OUT,HEL,NRT,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-07-08,水,Premium Economy,フィンエアー,AY 73,Airbus A350,HEL,2026-07-08 17:45,NRT,2026-07-09 13:05,800,469960,JPY,OK,,SerpApi Google Flights API
2026-06-11 23:13:06,LOCAL_OUT,HEL,NRT,Finland-Japan,benchmark,AY_direct_watch,4,Wednesday,2026-07-08,水,Business,フィンエアー,AY 73,Airbus A350,HEL,2026-07-08 17:45,NRT,2026-07-09 13:05,800,830167,JPY,OK,,SerpApi Google Flights API
